Index,Company ,Company Twitter 
421,Discovery Inc.,@DiscoveryIncTV
422,CF Industries Holdings Inc.,@CFIndustries
423,J.B. Hunt Transport Services Inc.,@jbhunt360
424,Eastman Chemical Company,@EastmanChemCo
425,Snap-on Incorporated,@Snapon_Tools
426,Interpublic group of companies Inc.,@InterpublicIPG
427,Whirlpool Corporation,@WhirlpoolCorp
428,Live Nation Entertainment,@LiveNation
429,DISH Network Corporation,@dish
430,DaVita Inc.,@DaVita
431,Apartment Investment & Management Co,@AimcoApts
432,Assurant Inc.,@Assurant
433,Juniper Networks,@JuniperNetworks
434,Perrigo Co. PLC,@PerrigoCompany
435,Kimco Realty Corp.,@kimcorealty
436,F5 Networks Inc.,@F5Networks
437,Mohawk Industries Inc.,MohawkFlooring
438,ABIOMED Inc.,@abiomedimpella
439,Cabot Oil and Gas Corp.,@CabotOG
440,SL Green Realty Corp.,@SLGreen
441,Comerica Incorporated,@ComericaBank
442,Pentair Plc,@Pentair
443,Noble Energy Inc.,@nblenergy
444,People’s United Financial Inc.,@PeoplesUnited
445,Franklin Resources Inc.,@FTI_Global
446,Zions Bancorporation N.A.,@ZionsBank
447,Tapestry Inc.,@tapestryInc
448,National Oilwell Varco Inc.,@NOVGlobal
449,Xerox Holdings Corp.,@Xerox
450,Borg Warner Inc.,@BorgWarner
451,A. O. Smith Corporation,@AOSmithHotWater
452,Norwegian Cruise Line Holdings Ltd.,@CruiseNorwegian
453,Rollins Inc.,@RollinsPC
454,Alaska Air Group Inc.,@AlaskaAir
455,Newell Brands Inc,@newell_brands
456,Robert half International Inc.,@roberthalf
457,Kohl’s Corporation,@Kohls
458,Nielsen Holdings Plc.,@nielsen
459,FLIR Systems Inc.,@flir
460,Quanta Services Inc.,@Quanta_Services
461,Ralph Lauren Corporation,@RalphLauren
462,L Brands Inc.,@L_Brands
463,PVH Corp,@PVHCorp
464,Invesco Ltd,@InvescoUS
465,Sealed Air Corporation,@Sealed_Air
466,Leggett & Platt Incorporated,
467,Diamondback Energy Inc.,
468,Mosaic Company,@MosaicCompany
469,TechnipFMC Plc,@TechnipFMC
470,Flowserve Corp,@Flowserve
471,Unum Group,@unumnews
472,HollyFrontier Corp.,
473,Marathon Oil Corp.,@MarathonOil
474,Devon Energy Corp.,@DevonEnergy
475,Macy’s Inc.,@Macys
476,Capri Holdings Limited,
477,Nordstrom Inc.,@Nordstrom
478,Gap Inc.,@GapInc
479,Alliance Data Systems Corp.,@AllianceData
480,Coty Inc.,@COTYInc
481,Helmerich & Payne Inc.,@HelmerichPayne
482,Under Armour Inc.,@UnderArmour
